"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","lr","parameters.epochs","parameters.lr","seed","parameters.seeds","program","epoch","test_mae","test_r","train_mae","train_r","val_mae","val_r"
"bs128-seed4","finished","-","","bs128","2025-11-14T23:56:57.000Z","524","","128","10","0.00001","","","4","","","10","0.6211379965146383","0.6442606449127197","0.5036183722361833","0.7479028105735779","0.5692449042742903","0.6676136255264282"
"bs128-seed3","finished","-","","bs128","2025-11-14T23:48:15.000Z","521","","128","10","0.00001","","","3","","","10","0.6101494970775786","0.6503087878227234","0.49797477872071866","0.7538092136383057","0.5593172244050286","0.6784182786941528"
"bs128-seed2","finished","-","","bs128","2025-11-14T23:39:33.000Z","522","","128","10","0.00001","","","2","","","10","0.609900849206107","0.6522071957588196","0.496243135479396","0.7557063698768616","0.5746683437715877","0.6732497215270996"
"bs128-seed1","finished","-","","bs128","2025-11-14T23:30:50.000Z","523","","128","10","0.00001","","","1","","","10","0.632175190108163","0.6280377507209778","0.5185044493503913","0.733122706413269","0.6005994840101763","0.6500842571258545"
"bs128-seed0","finished","-","","bs128","2025-11-14T23:22:06.000Z","524","","128","10","0.00001","","","0","","","10","0.6246494948863983","0.6287639141082764","0.5205424047872692","0.729089617729187","0.5850808633999391","0.6575514674186707"
"bs64-seed4","finished","-","","bs64","2025-11-14T23:12:38.000Z","567","","64","10","0.00001","","","4","","","10","0.5934288552621516","0.643445611000061","0.4726836497555236","0.7754414081573486","0.5748039186000824","0.6668734550476074"
"bs64-seed3","finished","-","","bs64","2025-11-14T21:03:08.000Z","580","","64","10","0.00001","","","3","","","10","0.585843612508076","0.6494452953338623","0.4668275298115736","0.7826436161994934","0.5750100106693977","0.6733600497245789"
"bs64-seed2","finished","-","","bs64","2025-11-14T20:53:35.000Z","573","","64","10","0.00001","","","2","","","10","0.586258045783857","0.6553704738616943","0.469001768056504","0.7793319225311279","0.5881132705267086","0.6647005081176758"
"bs64-seed1","finished","-","","bs64","2025-11-14T20:44:04.000Z","571","","64","10","0.00001","","","1","","","10","0.6080526040821541","0.6328414678573608","0.4919070342700638","0.7578161954879761","0.5998360306717628","0.6488960981369019"
"bs64-seed0","finished","-","","bs64","2025-11-14T20:34:27.000Z","577","","64","10","0.00001","","","0","","","10","0.5890577886162734","0.6360440254211426","0.48813877339491585","0.7604997754096985","0.5869188994862312","0.6547600626945496"
"bs32-seed4","finished","-","","bs32","2025-11-14T20:23:27.000Z","660","","32","10","0.00001","","","4","","","10","0.5910022331447136","0.6424537897109985","0.44868417494668217","0.7974585294723511","0.5874431171837975","0.6615818738937378"
"bs32-seed3","finished","-","","bs32","2025-11-14T20:12:28.000Z","658","","32","10","0.00001","","","3","","","10","0.5867263089592863","0.6518257856369019","0.43843256024097255","0.8047638535499573","0.5858104036134832","0.669781506061554"
